City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,teya,60.3778,92.6267,11.52,60,11,1.82,RU,1685372617
1,vaini,-21.2,-175.2,25.09,88,20,4.63,TO,1685372617
2,clyde river,70.4692,-68.5914,-2.87,93,100,3.09,CA,1685372617
3,bajil,15.0584,43.2851,31.43,47,100,5.09,YE,1685372619
4,uvinza,-5.1036,30.3911,24.06,63,98,1.47,TZ,1685372619
5,rikitea,-23.1203,-134.9692,22.82,63,100,5.57,PF,1685372620
6,zhezkazgan,47.8043,67.7144,24.99,20,0,2.0,KZ,1685372620
7,hambantota,6.1241,81.1185,25.19,100,75,2.06,LK,1685372621
8,poptun,16.3311,-89.4169,30.19,46,2,1.32,GT,1685372621
9,thornbury,52.2333,-2.55,18.15,56,99,5.54,GB,1685372563
10,port lincoln,-34.7333,135.8667,15.02,92,78,3.94,AU,1685372623
11,thompson,55.7435,-97.8558,15.09,100,100,2.57,CA,1685372328
12,saint-philippe,-21.3585,55.7679,23.77,78,48,4.54,RE,1685372524
13,ushuaia,-54.8,-68.3,5.81,93,0,2.06,AR,1685372127
14,mataura,-46.1927,168.8643,8.84,96,93,0.89,NZ,1685372626
15,broken hill,-31.95,141.4333,14.2,73,91,3.56,AU,1685372627
16,husavik,66.0449,-17.3389,12.51,67,97,2.79,IS,1685372627
17,hermanus,-34.4187,19.2345,15.45,87,100,10.32,ZA,1685372628
18,atuona,-9.8,-139.0333,27.0,70,17,8.73,PF,1685372476
19,gornopravdinsk,60.05,69.9,19.05,83,79,4.26,RU,1685372629
20,punta arenas,-53.15,-70.9167,7.84,84,40,5.14,CL,1685372630
21,salo,45.6086,10.531,27.4,55,3,1.39,IT,1685372630
22,cape town,-33.9258,18.4232,18.23,70,75,9.26,ZA,1685372100
23,kapaa,22.0752,-159.319,21.17,89,23,3.38,US,1685372631
24,mucuri,-18.0864,-39.5508,27.24,60,32,1.9,BR,1685372631
25,tasiilaq,65.6145,-37.6368,1.09,99,100,1.59,GL,1685372483
26,kailua,21.4022,-157.7394,23.05,82,34,1.34,US,1685372632
27,ponta delgada,37.7333,-25.6667,20.4,73,20,3.6,PT,1685372524
28,yellowknife,62.456,-114.3525,10.29,76,20,4.63,CA,1685372632
29,dargaville,-35.9333,173.8833,13.56,96,88,1.49,NZ,1685372632
30,port elizabeth,-33.918,25.5701,17.83,94,100,9.26,ZA,1685372633
31,hamilton,39.1834,-84.5333,25.29,52,40,3.09,US,1685372058
32,busselton,-33.65,115.3333,19.48,70,100,7.28,AU,1685372636
33,sandy bay,-42.913,147.3532,9.94,66,40,6.17,AU,1685372636
34,navalmoral de la mata,39.8916,-5.5406,21.51,58,77,3.45,ES,1685372637
35,castro,-24.7911,-50.0119,14.71,86,99,4.07,BR,1685372337
36,matthews,35.1168,-80.7237,18.84,94,100,3.09,US,1685372637
37,butaritari,3.0707,172.7902,28.24,78,85,4.31,KI,1685372563
38,bandarbeyla,9.4942,50.8122,28.9,73,12,9.97,SO,1685372637
39,puerto ayora,-0.7393,-90.3518,27.98,100,48,1.79,EC,1685372638
40,victoria,22.2855,114.1577,30.21,78,35,4.92,HK,1685372402
41,namibe,-15.1961,12.1522,21.4,53,1,6.87,AO,1685372638
42,west bay,19.3667,-81.4167,31.11,74,20,4.12,KY,1685372638
43,bluff,-46.6,168.3333,10.91,87,81,3.55,NZ,1685372312
44,mount gambier,-37.8333,140.7667,13.3,94,100,3.29,AU,1685372639
45,mar del plata,-38.0023,-57.5575,12.19,66,0,4.63,AR,1685372498
46,polyarnyy,69.1989,33.4478,7.75,84,100,5.35,RU,1685372639
47,dongkan,33.9997,119.8308,17.24,96,31,2.64,CN,1685372640
48,nikolskoye,59.7035,30.7861,15.94,37,100,3.83,RU,1685372640
49,suozhen,36.9539,118.1047,19.76,64,100,1.54,CN,1685372641
50,qaanaaq,77.484,-69.3632,-4.8,68,67,4.12,GL,1685372641
51,east london,-33.0153,27.9116,16.52,94,100,2.06,ZA,1685372433
52,luwuk,-0.9516,122.7875,25.28,86,8,1.77,ID,1685372643
53,ardakan,32.31,54.0175,35.94,10,3,6.38,IR,1685372644
54,saint augustine,29.8947,-81.3145,27.84,60,0,5.66,US,1685372645
55,lagoa,39.05,-27.9833,17.13,74,0,1.53,PT,1685372603
56,hobart,-42.8794,147.3294,9.92,66,40,6.17,AU,1685372559
57,dakar,14.6937,-17.4441,35.49,61,0,8.23,SN,1685372461
58,rudnyy,52.9594,63.1206,29.13,29,18,3.9,KZ,1685372650
59,acapulco,16.8634,-99.8901,31.12,59,0,0.86,MX,1685372422
60,ponta do sol,32.6667,-17.1,24.35,62,1,2.95,PT,1685372651
61,port-cartier,50.0334,-66.8654,10.12,47,6,2.91,CA,1685372652
62,banff,51.1762,-115.5698,13.76,62,7,3.09,CA,1685372652
63,jumla,29.2747,82.1838,13.73,87,33,0.59,NP,1685372653
64,mahebourg,-20.4081,57.7,25.16,73,40,3.6,MU,1685372564
65,moyale,3.5167,39.0584,22.16,58,43,2.55,KE,1685372655
66,gweta,-20.1833,25.2333,28.2,15,4,4.03,BW,1685372656
67,terrace bay,48.7834,-87.1,12.15,54,66,2.17,CA,1685372657
68,hithadhoo,-0.6,73.0833,28.51,74,85,3.33,MV,1685372657
69,tuktoyaktuk,69.4541,-133.0374,6.0,75,20,5.66,CA,1685372659
70,athabasca,54.7169,-113.2854,15.23,46,8,2.16,CA,1685372441
71,ribeira grande,38.5167,-28.7,19.87,82,40,5.14,PT,1685372661
72,barrow,71.2906,-156.7887,0.01,93,100,6.69,US,1685372662
73,port alfred,-33.5906,26.891,15.66,97,100,1.79,ZA,1685372663
74,sitka,57.0531,-135.33,6.94,76,100,4.63,US,1685372665
75,takoradi,4.8845,-1.7554,28.37,73,100,2.95,GH,1685372666
76,grindavik,63.8424,-22.4338,10.97,93,100,12.35,IS,1685372667
77,sistranda,63.7256,8.834,9.98,84,57,8.12,NO,1685372667
78,bethel,41.3712,-73.414,25.23,46,0,5.14,US,1685372669
79,celestun,20.8667,-90.4,28.47,64,100,1.85,MX,1685372669
80,jamestown,42.097,-79.2353,21.8,43,0,2.57,US,1685372511
81,karaton,-6.3424,106.1045,24.1,90,86,0.75,ID,1685372670
82,dunmore town,25.5,-76.65,27.43,76,94,3.56,BS,1685372671
83,albany,42.6001,-73.9662,26.0,40,1,0.89,US,1685371913
84,liku,-0.7275,119.8922,24.93,93,36,0.85,ID,1685372673
85,ilulissat,69.2167,-51.1,-0.99,51,40,2.57,GL,1685372674
86,nemuro,43.3236,145.575,6.42,94,100,3.45,JP,1685372473
87,ngunguru,-35.6167,174.5,15.0,91,68,2.54,NZ,1685372674
88,okhotsk,59.3833,143.3,10.06,55,51,4.13,RU,1685372675
89,adrar,20.5022,-10.0711,36.33,16,35,7.5,MR,1685372676
90,san carlos de bariloche,-41.1456,-71.3082,8.47,87,40,2.06,AR,1685372677
91,yulara,-25.2406,130.9889,11.52,44,12,4.35,AU,1685372677
92,mareeba,-17.0,145.4333,13.4,80,79,0.76,AU,1685372677
93,chuy,-33.6971,-53.4616,14.37,52,15,1.05,UY,1685372547
94,new norfolk,-42.7826,147.0587,9.72,65,100,1.65,AU,1685372679
95,vestmanna,62.1564,-7.1664,9.51,93,100,7.72,FO,1685372680
96,toktogul,41.8708,72.9402,17.97,58,98,1.88,KG,1685372681
97,banda aceh,5.5577,95.3222,27.5,77,100,5.74,ID,1685372682
98,key biscayne,25.6937,-80.1628,31.12,67,75,2.57,US,1685372683
99,buta,2.7858,24.73,24.54,80,96,0.71,CD,1685372683
100,norman wells,65.282,-126.8329,10.02,71,75,4.63,CA,1685372684
101,bareli,28.35,79.4167,31.3,38,54,5.38,IN,1685372653
102,bereda,43.2686,-7.5406,25.79,60,53,3.76,ES,1685372684
103,marsh harbour,26.5412,-77.0636,26.64,75,100,2.76,BS,1685372404
104,kutum,14.2,24.6667,34.78,18,2,2.09,SD,1685372686
105,uglekamensk,43.2172,133.2303,7.92,89,2,1.53,RU,1685372687
106,hilo,19.7297,-155.09,22.38,92,100,1.54,US,1685372687
107,rajkot,22.3,70.7833,31.96,54,4,8.76,IN,1685372554
108,san cristobal,7.7669,-72.225,24.1,57,44,2.1,VE,1685372580
109,bilma,18.6853,12.9164,39.49,8,1,1.3,NE,1685372689
110,progreso,21.2833,-89.6667,28.39,63,100,2.64,MX,1685372174
111,nyurba,63.2842,118.3319,7.94,81,44,2.24,RU,1685372689
112,moerai,-22.4333,-151.3333,24.66,79,80,5.99,PF,1685372690
113,emerald,-23.5333,148.1667,10.19,51,0,5.79,AU,1685372356
114,coquimbo,-29.9533,-71.3436,14.85,82,0,1.54,CL,1685372212
115,upernavik,72.7868,-56.1549,-3.93,55,85,2.12,GL,1685372479
116,bredasdorp,-34.5322,20.0403,15.45,86,100,10.23,ZA,1685372691
117,kiel,54.3213,10.1349,19.07,42,0,3.09,DE,1685372611
118,dikson,73.5069,80.5464,-1.14,87,13,2.25,RU,1685372513
119,saint-leu,-21.15,55.2833,23.48,94,29,2.47,RE,1685372692
120,shangrao,28.4532,117.9686,27.72,79,88,0.74,CN,1685372692
121,kenai,60.5544,-151.2583,4.52,99,75,0.0,US,1685372692
122,belmonte,-15.8631,-38.8828,27.6,63,32,1.85,BR,1685372692
123,koumra,8.9126,17.5539,28.48,53,100,2.24,TD,1685372693
124,tadine,-21.55,167.8833,21.89,69,95,5.85,NC,1685372693
125,lithakia,37.7167,20.8333,24.65,64,75,2.57,GR,1685372693
126,bambous virieux,-20.3428,57.7575,25.14,73,40,3.6,MU,1685372693
127,leningradskiy,69.3833,178.4167,-0.67,96,100,12.71,RU,1685372694
128,cherskiy,68.75,161.3,1.45,78,100,3.79,RU,1685372694
129,georgetown,5.4112,100.3354,28.97,83,40,1.54,MY,1685372442
130,constitucion,-35.3333,-72.4167,12.51,55,24,3.13,CL,1685372441
131,berdigestyakh,62.0989,126.6992,8.0,72,62,0.43,RU,1685372695
132,miranda,3.2499,-76.2281,22.07,69,45,2.03,CO,1685372695
133,saint george,37.1041,-113.5841,22.36,25,0,2.06,US,1685372151
134,kahului,20.8947,-156.47,23.8,83,75,2.57,US,1685372696
135,komsomolskiy,40.4272,71.7189,28.4,18,0,1.03,UZ,1685372696
136,sur,22.5667,59.5289,34.31,48,0,4.59,OM,1685372697
137,qrendi,35.8347,14.4583,22.84,56,0,3.09,MT,1685372697
138,lebu,-37.6167,-73.65,10.1,60,62,2.41,CL,1685372601
139,kruisfontein,-34.0033,24.7314,16.6,96,100,7.56,ZA,1685372697
140,kodiak,57.79,-152.4072,6.73,70,100,3.6,US,1685372697
141,nobeoka,32.5833,131.6667,22.44,93,72,0.93,JP,1685372698
142,san patricio,28.017,-97.5169,28.84,67,100,1.58,US,1685372698
143,sao filipe,14.8961,-24.4956,25.13,69,100,3.12,CV,1685372698
144,arraial do cabo,-22.9661,-42.0278,21.98,83,75,2.57,BR,1685372557
145,altay,47.8667,88.1167,8.85,64,95,2.13,CN,1685372699
146,mozarlandia,-14.7447,-50.5706,33.2,31,77,1.35,BR,1685372699
147,knysna,-34.0363,23.0471,16.85,90,96,7.08,ZA,1685372699
148,aksha,50.2814,113.2867,10.12,32,0,0.96,RU,1685372700
149,vao,-22.6667,167.4833,21.88,66,100,5.18,NC,1685372700
150,alice springs,-23.7,133.8833,6.75,70,1,4.02,AU,1685372412
151,geraldton,-28.7667,114.6,18.23,48,100,5.14,AU,1685372486
152,balabac,7.9868,117.0645,28.82,78,85,4.69,PH,1685372706
153,porto torres,40.835,8.3972,24.1,66,83,2.41,IT,1685372706
154,tabuk,17.4189,121.4443,24.6,86,100,1.0,PH,1685372633
155,palmas,-10.2128,-48.3603,32.93,46,20,3.6,BR,1685372709
156,kinsale,51.7075,-8.5306,17.65,63,40,5.14,IE,1685372710
157,anadyr,64.75,177.4833,1.28,74,0,10.73,RU,1685372710
158,solnechnyy,50.7214,136.6319,4.48,85,99,2.31,RU,1685372711
159,lavrentiya,65.5833,-171.0,-0.83,98,54,2.64,RU,1685372712
160,floro,61.5996,5.0328,10.04,100,75,3.6,NO,1685372604
161,avarua,-21.2078,-159.775,23.03,88,100,2.57,CK,1685372713
162,taoudenni,22.6783,-3.9836,39.12,13,36,7.2,ML,1685372714
163,bhag,29.0415,67.8239,29.56,37,53,8.19,PK,1685372380
164,parana,-31.732,-60.5238,14.76,62,100,3.5,AR,1685372715
165,pitimbu,-7.4706,-34.8086,26.33,80,100,4.61,BR,1685372716
166,forbes,-33.3833,148.0167,10.76,74,96,1.59,AU,1685372716
167,pamplona,42.8169,-1.6432,16.95,72,40,3.6,ES,1685372652
168,hasaki,35.7333,140.8333,20.12,98,100,1.77,JP,1685372600
169,kanniyakumari,8.0833,77.5667,27.87,76,100,4.18,IN,1685372718
170,khatanga,71.9667,102.5,3.84,75,99,5.66,RU,1685372719
171,ahipara,-35.1667,173.1667,13.79,94,91,1.31,NZ,1685372655
172,maracaibo,10.6317,-71.6406,30.78,66,99,1.21,VE,1685372520
173,forest hill,32.6721,-97.2692,28.16,62,0,4.63,US,1685372721
174,male,4.1748,73.5089,28.97,89,75,4.63,MV,1685372491
175,djenne,13.9061,-4.5533,42.57,12,100,4.57,ML,1685372724
176,kaitangata,-46.2817,169.8464,12.74,72,92,1.33,NZ,1685372440
177,eskisehir,39.7767,30.5206,18.95,68,75,3.6,TR,1685372726
178,pong,19.1493,100.2752,27.61,71,40,1.16,TH,1685372729
179,pocao de pedras,-4.6667,-44.85,31.08,58,49,2.11,BR,1685372729
180,katobu,-4.9408,122.5276,24.27,85,3,2.62,ID,1685372731
181,sosnovka,56.255,51.2842,16.59,63,31,4.39,RU,1685372731
